PROCESO	INDICADOR	ETAPA	CICLO	CURSO	UNIDAD	VALORR	VALORC
P.E. 06. MEJORA CONTINUA.	IND 06.2 E Mejora en indicadores de la satisfacci¢n del cliente	centro	centro	centro	centro	50,66	2
P.E. 06. MEJORA CONTINUA.	IND 06.1 E Mejora en indicadores medici¢n objetiva definida en el PSM 	centro	centro	centro	centro	13,92	3
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.5 Grado de satisfacci¢n de las empresas con la FCT	FORMACION PROFESIONAL	FORMACI‡N PROFESIONAL BµSICA	2ß de F.P.B. (Electricidad y Electr¢nica)	2ß FPB	49,4	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.5 Grado de satisfacci¢n de las empresas con la FCT	FORMACION PROFESIONAL	FORMACI‡N PROFESIONAL BµSICA	1ß de F.P.B. (Electricidad y Electr¢nica)	1ß FPB	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.5 Grado de satisfacci¢n de las empresas con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	2ß F.P.I.G.S. (Desarrollo de Aplicaciones Multiplataforma)	2 D.A.Mult	48,31	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.5 Grado de satisfacci¢n de las empresas con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	2ß F.P.I.G.S. (Administraci¢n y Finanzas)	2ß Adm-Fin	88,63	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.5 Grado de satisfacci¢n de las empresas con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	1ß F.P.I.G.S. (Desarrollo de Aplicaciones Multiplataforma)	1 D.A.Mult	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.5 Grado de satisfacci¢n de las empresas con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	1ß F.P.I.G.S. (Administraci¢n y Finanzas)	1ß Adm-Fin	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.5 Grado de satisfacci¢n de las empresas con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Instalaciones de Telecomunicaciones)	2ß ITelec	49,86	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.5 Grado de satisfacci¢n de las empresas con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Instalaciones ElÇctricas y Autom†ticas)	2ß Ins Aut	92,72	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.5 Grado de satisfacci¢n de las empresas con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Gesti¢n Administrativa)	2ß Gesti¢n	65,35	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.5 Grado de satisfacci¢n de las empresas con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	2ß F.P.I.G.M. (Actividades Comerciales)	2ß Comerci	7,25	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.5 Grado de satisfacci¢n de las empresas con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Instalaciones de Telecomunicaciones)	1ß ITelec	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.5 Grado de satisfacci¢n de las empresas con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Instalaciones ElÇctricas y Autom†ticas)	1ß Ins Aut	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.5 Grado de satisfacci¢n de las empresas con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Gesti¢n Administrativa)	1ß Gesti¢n	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.5 Grado de satisfacci¢n de las empresas con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO MEDIO	1ß F.P.I.G.M. (Actividades Comerciales)	1ß Comerci	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.4 Grado de satisfaccion de los alumnos con la FCT	FORMACION PROFESIONAL	FORMACI‡N PROFESIONAL BµSICA	2ß de F.P.B. (Electricidad y Electr¢nica)	2ß FPB	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.4 Grado de satisfaccion de los alumnos con la FCT	FORMACION PROFESIONAL	FORMACI‡N PROFESIONAL BµSICA	1ß de F.P.B. (Electricidad y Electr¢nica)	1ß FPB	NA	60
P.C. 14. FORMACI‡N EN CENTROS DE TRABAJO.	IND 14.4 Grado de satisfaccion de los alumnos con la FCT	FORMACION PROFESIONAL	CICLOS FORMATIVOS DE GRADO SUPERIOR	2ß F.P.I.G.S. (Desarrollo de Aplicaciones Multiplataforma)	2 D.A.Mult	36,37	60
